v8-version,8,4,371,23,-node.85,0
shared-library,/usr/bin/node,0x400000,0x408a000,0
shared-library,/usr/lib/aarch64-linux-gnu/libc-2.31.so,0xffffb7162000,0xffffb72be000,0
shared-library,/usr/lib/aarch64-linux-gnu/libpthread-2.31.so,0xffffb72d7000,0xffffb72f3000,0
shared-library,/usr/lib/aarch64-linux-gnu/libgcc_s.so.1,0xffffb7308000,0xffffb731b000,0
shared-library,/usr/lib/aarch64-linux-gnu/libm-2.31.so,0xffffb732c000,0xffffb73c8000,0
shared-library,/usr/lib/aarch64-linux-gnu/libstdc++.so.6.0.29,0xffffb73da000,0xffffb75d4000,0
shared-library,/usr/lib/aarch64-linux-gnu/libdl-2.31.so,0xffffb75f5000,0xffffb75f8000,0
shared-library,/usr/lib/aarch64-linux-gnu/ld-2.31.so,0xffffb7622000,0xffffb7643000,0
shared-library,[vdso],0xffffb7652000,0xffffb7653000,0
profiler,begin,1000
tick,0xffffb72e924c,495,0,0x0,6
code-creation,Builtin,3,1510,0x132a240,1360,RecordWrite
code-creation,Builtin,3,1515,0x132a7a0,372,EphemeronKeyBarrier
code-creation,Builtin,3,1517,0x132a920,56,AdaptorWithBuiltinExitFrame
code-creation,Builtin,3,1520,0x132a960,360,ArgumentsAdaptorTrampoline
code-creation,Builtin,3,1523,0x132aae0,240,CallFunction_ReceiverIsNullOrUndefined
code-creation,Builtin,3,1526,0x132abe0,316,CallFunction_ReceiverIsNotNullOrUndefined
code-creation,Builtin,3,1529,0x132ad20,356,CallFunction_ReceiverIsAny
code-creation,Builtin,3,1532,0x132aea0,192,CallBoundFunction
code-creation,Builtin,3,1535,0x132af80,120,Call_ReceiverIsNullOrUndefined
code-creation,Builtin,3,1537,0x132b000,120,Call_ReceiverIsNotNullOrUndefined
code-creation,Builtin,3,1540,0x132b080,120,Call_ReceiverIsAny
code-creation,Builtin,3,1543,0x132b100,902,CallProxy
code-creation,Builtin,3,1545,0x132b4a0,232,CallVarargs
code-creation,Builtin,3,1547,0x132b5a0,1256,CallWithSpread
code-creation,Builtin,3,1549,0x132baa0,1238,CallWithArrayLike
code-creation,Builtin,3,1552,0x132bf80,288,CallForwardVarargs
code-creation,Builtin,3,1554,0x132c0c0,288,CallFunctionForwardVarargs
code-creation,Builtin,3,1557,0x132c200,189,CallFunctionTemplate_CheckAccess
code-creation,Builtin,3,1560,0x132c2c0,261,CallFunctionTemplate_CheckCompatibleReceiver
code-creation,Builtin,3,1563,0x132c3e0,370,CallFunctionTemplate_CheckAccessAndCompatibleReceiver
code-creation,Builtin,3,1567,0x132c560,24,ConstructFunction
code-creation,Builtin,3,1570,0x132c580,196,ConstructBoundFunction
code-creation,Builtin,3,1572,0x132c660,40,ConstructedNonConstructable
code-creation,Builtin,3,1579,0x132c6a0,84,Construct
code-creation,Builtin,3,1582,0x132c700,232,ConstructVarargs
code-creation,Builtin,3,1584,0x132c800,1284,ConstructWithSpread
code-creation,Builtin,3,1587,0x132cd20,1380,ConstructWithArrayLike
code-creation,Builtin,3,1589,0x132d2a0,336,ConstructForwardVarargs
code-creation,Builtin,3,1592,0x132d400,336,ConstructFunctionForwardVarargs
code-creation,Builtin,3,1595,0x132d560,424,JSConstructStubGeneric
code-creation,Builtin,3,1597,0x132d720,336,JSBuiltinsConstructStub
code-creation,Builtin,3,1600,0x132d880,743,FastNewObject
code-creation,Builtin,3,1602,0x132db80,333,FastNewClosure
code-creation,Builtin,3,1604,0x132dce0,241,FastNewFunctionContextEval
code-creation,Builtin,3,1607,0x132dde0,241,FastNewFunctionContextFunction
code-creation,Builtin,3,1610,0x132dee0,286,CreateRegExpLiteral
code-creation,Builtin,3,1612,0x132e000,570,CreateEmptyArrayLiteral
