v8-version,8,4,371,23,-node.85,0
shared-library,/usr/bin/node,0x400000,0x408a000,0
shared-library,/usr/lib/aarch64-linux-gnu/libc-2.31.so,0xffffb26fc000,0xffffb2858000,0
shared-library,/usr/lib/aarch64-linux-gnu/libpthread-2.31.so,0xffffb2871000,0xffffb288d000,0
shared-library,/usr/lib/aarch64-linux-gnu/libgcc_s.so.1,0xffffb28a2000,0xffffb28b5000,0
shared-library,/usr/lib/aarch64-linux-gnu/libm-2.31.so,0xffffb28c6000,0xffffb2962000,0
shared-library,/usr/lib/aarch64-linux-gnu/libstdc++.so.6.0.29,0xffffb2974000,0xffffb2b6e000,0
shared-library,/usr/lib/aarch64-linux-gnu/libdl-2.31.so,0xffffb2b8f000,0xffffb2b92000,0
shared-library,/usr/lib/aarch64-linux-gnu/ld-2.31.so,0xffffb2bbc000,0xffffb2bdd000,0
shared-library,[vdso],0xffffb2bec000,0xffffb2bed000,0
profiler,begin,1000
code-creation,Builtin,3,2831,0x132a240,1360,RecordWrite
code-creation,Builtin,3,2836,0x132a7a0,372,EphemeronKeyBarrier
code-creation,Builtin,3,2838,0x132a920,56,AdaptorWithBuiltinExitFrame
code-creation,Builtin,3,2841,0x132a960,360,ArgumentsAdaptorTrampoline
code-creation,Builtin,3,2844,0x132aae0,240,CallFunction_ReceiverIsNullOrUndefined
code-creation,Builtin,3,2848,0x132abe0,316,CallFunction_ReceiverIsNotNullOrUndefined
code-creation,Builtin,3,2851,0x132ad20,356,CallFunction_ReceiverIsAny
code-creation,Builtin,3,2854,0x132aea0,192,CallBoundFunction
code-creation,Builtin,3,2857,0x132af80,120,Call_ReceiverIsNullOrUndefined
code-creation,Builtin,3,2860,0x132b000,120,Call_ReceiverIsNotNullOrUndefined
code-creation,Builtin,3,2863,0x132b080,120,Call_ReceiverIsAny
code-creation,Builtin,3,2866,0x132b100,902,CallProxy
code-creation,Builtin,3,2868,0x132b4a0,232,CallVarargs
code-creation,Builtin,3,2870,0x132b5a0,1256,CallWithSpread
code-creation,Builtin,3,2873,0x132baa0,1238,CallWithArrayLike
code-creation,Builtin,3,2875,0x132bf80,288,CallForwardVarargs
code-creation,Builtin,3,2878,0x132c0c0,288,CallFunctionForwardVarargs
code-creation,Builtin,3,2881,0x132c200,189,CallFunctionTemplate_CheckAccess
code-creation,Builtin,3,2884,0x132c2c0,261,CallFunctionTemplate_CheckCompatibleReceiver
code-creation,Builtin,3,2888,0x132c3e0,370,CallFunctionTemplate_CheckAccessAndCompatibleReceiver
code-creation,Builtin,3,2892,0x132c560,24,ConstructFunction
code-creation,Builtin,3,2894,0x132c580,196,ConstructBoundFunction
code-creation,Builtin,3,2897,0x132c660,40,ConstructedNonConstructable
code-creation,Builtin,3,2900,0x132c6a0,84,Construct
code-creation,Builtin,3,2903,0x132c700,232,ConstructVarargs
code-creation,Builtin,3,2905,0x132c800,1284,ConstructWithSpread
code-creation,Builtin,3,2908,0x132cd20,1380,ConstructWithArrayLike
code-creation,Builtin,3,2911,0x132d2a0,336,ConstructForwardVarargs
code-creation,Builtin,3,2913,0x132d400,336,ConstructFunctionForwardVarargs
code-creation,Builtin,3,2916,0x132d560,424,JSConstructStubGeneric
code-creation,Builtin,3,2919,0x132d720,336,JSBuiltinsConstructStub
code-creation,Builtin,3,2922,0x132d880,743,FastNewObject
code-creation,Builtin,3,2924,0x132db80,333,FastNewClosure
code-creation,Builtin,3,2926,0x132dce0,241,FastNewFunctionContextEval
code-creation,Builtin,3,2929,0x132dde0,241,FastNewFunctionContextFunction
code-creation,Builtin,3,2932,0x132dee0,286,CreateRegExpLiteral
code-creation,Builtin,3,2935,0x132e000,570,CreateEmptyArrayLiteral
code-creation,Builtin,3,2937,0x132e240,1080,CreateShallowArrayLiteral
code-creation,Builtin,3,2940,0x132e680,1796,CreateShallowObjectLiteral
code-creation,Builtin,3,2943,0x132eda0,878,ConstructProxy
code-creation,Builtin,3,2945,0x132f120,276,JSEntry
code-creation,Builtin,3,2948,0x132f240,276,JSConstructEntry
code-creation,Builtin,3,2950,0x132f360,276,JSRunMicrotasksEntry
code-creation,Builtin,3,2953,0x132f480,176,JSEntryTrampoline
code-creation,Builtin,3,2955,0x132f540,176,JSConstructEntryTrampoline
code-creation,Builtin,3,2958,0x132f600,416,ResumeGeneratorTrampoline
code-creation,Builtin,3,2961,0x132f7c0,1232,StringCodePointAt
code-creation,Builtin,3,2963,0x132fca0,1775,StringFromCodePointAt
code-creation,Builtin,3,2966,0x13303a0,584,StringEqual
code-creation,Builtin,3,2968,0x1330600,328,StringGreaterThan
code-creation,Builtin,3,2971,0x1330760,328,StringGreaterThanOrEqual
code-creation,Builtin,3,2977,0x13308c0,1013,StringIndexOf
code-creation,Builtin,3,2979,0x1330cc0,328,StringLessThan
code-creation,Builtin,3,2982,0x1330e20,328,StringLessThanOrEqual
code-creation,Builtin,3,2985,0x1330f80,2899,StringSubstring
code-creation,Builtin,3,2987,0x1331ae0,128,OrderedHashTableHealIndex
code-creation,Builtin,3,2990,0x1331b80,1084,InterpreterEntryTrampoline
code-creation,Builtin,3,2993,0x1331fc0,116,InterpreterPushArgsThenCall
code-creation,Builtin,3,2995,0x1332040,128,InterpreterPushUndefinedAndArgsThenCall
code-creation,Builtin,3,2999,0x13320e0,128,InterpreterPushArgsThenCallWithFinalSpread
code-creation,Builtin,3,3002,0x1332180,128,InterpreterPushArgsThenConstruct
code-creation,Builtin,3,3005,0x1332220,128,InterpreterPushArgsThenConstructArrayFunction
code-creation,Builtin,3,3009,0x13322c0,140,InterpreterPushArgsThenConstructWithFinalSpread
code-creation,Builtin,3,3012,0x1332360,208,InterpreterEnterBytecodeAdvance
code-creation,Builtin,3,3015,0x1332440,80,InterpreterEnterBytecodeDispatch
code-creation,Builtin,3,3018,0x13324a0,72,InterpreterOnStackReplacement
code-creation,Builtin,3,3021,0x1332500,1149,CompileLazy
code-creation,Builtin,3,3024,0x1332980,108,CompileLazyDeoptimizedCode
code-creation,Builtin,3,3027,0x1332a00,321,InstantiateAsmJs
code-creation,Builtin,3,3029,0x1332b60,44,NotifyDeoptimized
code-creation,Builtin,3,3031,0x1332ba0,88,ContinueToCodeStubBuiltin
code-creation,Builtin,3,3034,0x1332c00,92,ContinueToCodeStubBuiltinWithResult
code-creation,Builtin,3,3037,0x1332c60,92,ContinueToJavaScriptBuiltin
code-creation,Builtin,3,3040,0x1332cc0,96,ContinueToJavaScriptBuiltinWithResult
code-creation,Builtin,3,3043,0x1332d40,400,CallApiCallback
code-creation,Builtin,3,3046,0x1332ee0,372,CallApiGetter
code-creation,Builtin,3,3048,0x1333060,8,HandleApiCall
code-creation,Builtin,3,3051,0x1333080,8,HandleApiCallAsFunction
code-creation,Builtin,3,3054,0x13330a0,8,HandleApiCallAsConstructor
code-creation,Builtin,3,3056,0x13330c0,64,AllocateInYoungGeneration
code-creation,Builtin,3,3059,0x1333120,60,AllocateRegularInYoungGeneration
code-creation,Builtin,3,3062,0x1333160,64,AllocateInOldGeneration
code-creation,Builtin,3,3065,0x13331c0,60,AllocateRegularInOldGeneration
code-creation,Builtin,3,3068,0x1333200,480,CopyFastSmiOrObjectElements
code-creation,Builtin,3,3071,0x1333400,603,GrowFastDoubleElements
code-creation,Builtin,3,3074,0x1333660,474,GrowFastSmiOrObjectElements
