v8-version,8,4,371,23,-node.85,0
shared-library,/usr/bin/node,0x400000,0x408a000,0
shared-library,/usr/lib/aarch64-linux-gnu/libc-2.31.so,0xffff8761c000,0xffff87778000,0
shared-library,/usr/lib/aarch64-linux-gnu/libpthread-2.31.so,0xffff87791000,0xffff877ad000,0
shared-library,/usr/lib/aarch64-linux-gnu/libgcc_s.so.1,0xffff877c2000,0xffff877d5000,0
shared-library,/usr/lib/aarch64-linux-gnu/libm-2.31.so,0xffff877e6000,0xffff87882000,0
shared-library,/usr/lib/aarch64-linux-gnu/libstdc++.so.6.0.29,0xffff87894000,0xffff87a8e000,0
shared-library,/usr/lib/aarch64-linux-gnu/libdl-2.31.so,0xffff87aaf000,0xffff87ab2000,0
shared-library,/usr/lib/aarch64-linux-gnu/ld-2.31.so,0xffff87adc000,0xffff87afd000,0
shared-library,[vdso],0xffff87b0c000,0xffff87b0d000,0
profiler,begin,1000
tick,0xffff877a324c,1895,0,0x0,6
code-creation,Builtin,3,2899,0x132a240,1360,RecordWrite
code-creation,Builtin,3,2915,0x132a7a0,372,EphemeronKeyBarrier
code-creation,Builtin,3,2918,0x132a920,56,AdaptorWithBuiltinExitFrame
code-creation,Builtin,3,2924,0x132a960,360,ArgumentsAdaptorTrampoline
code-creation,Builtin,3,2928,0x132aae0,240,CallFunction_ReceiverIsNullOrUndefined
code-creation,Builtin,3,2935,0x132abe0,316,CallFunction_ReceiverIsNotNullOrUndefined
code-creation,Builtin,3,2938,0x132ad20,356,CallFunction_ReceiverIsAny
code-creation,Builtin,3,2941,0x132aea0,192,CallBoundFunction
code-creation,Builtin,3,2944,0x132af80,120,Call_ReceiverIsNullOrUndefined
code-creation,Builtin,3,2950,0x132b000,120,Call_ReceiverIsNotNullOrUndefined
code-creation,Builtin,3,2954,0x132b080,120,Call_ReceiverIsAny
code-creation,Builtin,3,2956,0x132b100,902,CallProxy
code-creation,Builtin,3,2959,0x132b4a0,232,CallVarargs
code-creation,Builtin,3,2962,0x132b5a0,1256,CallWithSpread
