v8-version,8,4,371,23,-node.85,0
shared-library,/usr/bin/node,0x400000,0x408a000,0
shared-library,/usr/lib/aarch64-linux-gnu/libc-2.31.so,0xffffa57ec000,0xffffa5948000,0
shared-library,/usr/lib/aarch64-linux-gnu/libpthread-2.31.so,0xffffa5961000,0xffffa597d000,0
shared-library,/usr/lib/aarch64-linux-gnu/libgcc_s.so.1,0xffffa5992000,0xffffa59a5000,0
shared-library,/usr/lib/aarch64-linux-gnu/libm-2.31.so,0xffffa59b6000,0xffffa5a52000,0
shared-library,/usr/lib/aarch64-linux-gnu/libstdc++.so.6.0.29,0xffffa5a64000,0xffffa5c5e000,0
shared-library,/usr/lib/aarch64-linux-gnu/libdl-2.31.so,0xffffa5c7f000,0xffffa5c82000,0
shared-library,/usr/lib/aarch64-linux-gnu/ld-2.31.so,0xffffa5cac000,0xffffa5ccd000,0
shared-library,[vdso],0xffffa5cdc000,0xffffa5cdd000,0
profiler,begin,1000
tick,0xffffa597324c,1509,0,0x0,6
code-creation,Builtin,3,2510,0x132a240,1360,RecordWrite
code-creation,Builtin,3,2516,0x132a7a0,372,EphemeronKeyBarrier
code-creation,Builtin,3,2519,0x132a920,56,AdaptorWithBuiltinExitFrame
code-creation,Builtin,3,2522,0x132a960,360,ArgumentsAdaptorTrampoline
code-creation,Builtin,3,2525,0x132aae0,240,CallFunction_ReceiverIsNullOrUndefined
code-creation,Builtin,3,2528,0x132abe0,316,CallFunction_ReceiverIsNotNullOrUndefined
code-creation,Builtin,3,2544,0x132ad20,356,CallFunction_ReceiverIsAny
code-creation,Builtin,3,2547,0x132aea0,192,CallBoundFunction
code-creation,Builtin,3,2550,0x132af80,120,Call_ReceiverIsNullOrUndefined
code-creation,Builtin,3,2554,0x132b000,120,Call_ReceiverIsNotNullOrUndefined
code-creation,Builtin,3,2557,0x132b080,120,Call_ReceiverIsAny
code-creation,Builtin,3,2560,0x132b100,902,CallProxy
code-creation,Builtin,3,2562,0x132b4a0,232,CallVarargs
code-creation,Builtin,3,2565,0x132b5a0,1256,CallWithSpread
code-creation,Builtin,3,2567,0x132baa0,1238,CallWithArrayLike
code-creation,Builtin,3,2570,0x132bf80,288,CallForwardVarargs
code-creation,Builtin,3,2576,0x132c0c0,288,CallFunctionForwardVarargs
code-creation,Builtin,3,2579,0x132c200,189,CallFunctionTemplate_CheckAccess
code-creation,Builtin,3,2583,0x132c2c0,261,CallFunctionTemplate_CheckCompatibleReceiver
code-creation,Builtin,3,2586,0x132c3e0,370,CallFunctionTemplate_CheckAccessAndCompatibleReceiver
code-creation,Builtin,3,2590,0x132c560,24,ConstructFunction
code-creation,Builtin,3,2593,0x132c580,196,ConstructBoundFunction
code-creation,Builtin,3,2596,0x132c660,40,ConstructedNonConstructable
code-creation,Builtin,3,2600,0x132c6a0,84,Construct
code-creation,Builtin,3,2603,0x132c700,232,ConstructVarargs
code-creation,Builtin,3,2605,0x132c800,1284,ConstructWithSpread
code-creation,Builtin,3,2608,0x132cd20,1380,ConstructWithArrayLike
code-creation,Builtin,3,2611,0x132d2a0,336,ConstructForwardVarargs
code-creation,Builtin,3,2614,0x132d400,336,ConstructFunctionForwardVarargs
code-creation,Builtin,3,2617,0x132d560,424,JSConstructStubGeneric
code-creation,Builtin,3,2620,0x132d720,336,JSBuiltinsConstructStub
code-creation,Builtin,3,2624,0x132d880,743,FastNewObject
code-creation,Builtin,3,2626,0x132db80,333,FastNewClosure
code-creation,Builtin,3,2629,0x132dce0,241,FastNewFunctionContextEval
code-creation,Builtin,3,2632,0x132dde0,241,FastNewFunctionContextFunction
code-creation,Builtin,3,2635,0x132dee0,286,CreateRegExpLiteral
code-creation,Builtin,3,2638,0x132e000,570,CreateEmptyArrayLiteral
code-creation,Builtin,3,2641,0x132e240,1080,CreateShallowArrayLiteral
code-creation,Builtin,3,2644,0x132e680,1796,CreateShallowObjectLiteral
code-creation,Builtin,3,2647,0x132eda0,878,ConstructProxy
code-creation,Builtin,3,2650,0x132f120,276,JSEntry
code-creation,Builtin,3,2653,0x132f240,276,JSConstructEntry
code-creation,Builtin,3,2655,0x132f360,276,JSRunMicrotasksEntry
code-creation,Builtin,3,2658,0x132f480,176,JSEntryTrampoline
code-creation,Builtin,3,2661,0x132f540,176,JSConstructEntryTrampoline
tick,0xffffa5875d58,2665,0,0x0,6
code-creation,Builtin,3,2674,0x132f600,416,ResumeGeneratorTrampoline
code-creation,Builtin,3,2678,0x132f7c0,1232,StringCodePointAt
code-creation,Builtin,3,2681,0x132fca0,1775,StringFromCodePointAt
code-creation,Builtin,3,2684,0x13303a0,584,StringEqual
code-creation,Builtin,3,2692,0x1330600,328,StringGreaterThan
code-creation,Builtin,3,2695,0x1330760,328,StringGreaterThanOrEqual
code-creation,Builtin,3,2698,0x13308c0,1013,StringIndexOf
code-creation,Builtin,3,2701,0x1330cc0,328,StringLessThan
code-creation,Builtin,3,2704,0x1330e20,328,StringLessThanOrEqual
code-creation,Builtin,3,2707,0x1330f80,2899,StringSubstring
code-creation,Builtin,3,2709,0x1331ae0,128,OrderedHashTableHealIndex
code-creation,Builtin,3,2712,0x1331b80,1084,InterpreterEntryTrampoline
code-creation,Builtin,3,2715,0x1331fc0,116,InterpreterPushArgsThenCall
code-creation,Builtin,3,2718,0x1332040,128,InterpreterPushUndefinedAndArgsThenCall
code-creation,Builtin,3,2722,0x13320e0,128,InterpreterPushArgsThenCallWithFinalSpread
code-creation,Builtin,3,2725,0x1332180,128,InterpreterPushArgsThenConstruct
code-creation,Builtin,3,2729,0x1332220,128,InterpreterPushArgsThenConstructArrayFunction
code-creation,Builtin,3,2733,0x13322c0,140,InterpreterPushArgsThenConstructWithFinalSpread
code-creation,Builtin,3,2737,0x1332360,208,InterpreterEnterBytecodeAdvance
code-creation,Builtin,3,2740,0x1332440,80,InterpreterEnterBytecodeDispatch
code-creation,Builtin,3,2744,0x13324a0,72,InterpreterOnStackReplacement
code-creation,Builtin,3,2747,0x1332500,1149,CompileLazy
code-creation,Builtin,3,2750,0x1332980,108,CompileLazyDeoptimizedCode
code-creation,Builtin,3,2753,0x1332a00,321,InstantiateAsmJs
code-creation,Builtin,3,2756,0x1332b60,44,NotifyDeoptimized
code-creation,Builtin,3,2758,0x1332ba0,88,ContinueToCodeStubBuiltin
code-creation,Builtin,3,2762,0x1332c00,92,ContinueToCodeStubBuiltinWithResult
code-creation,Builtin,3,2765,0x1332c60,92,ContinueToJavaScriptBuiltin
code-creation,Builtin,3,2768,0x1332cc0,96,ContinueToJavaScriptBuiltinWithResult
code-creation,Builtin,3,2772,0x1332d40,400,CallApiCallback
code-creation,Builtin,3,2774,0x1332ee0,372,CallApiGetter
code-creation,Builtin,3,2777,0x1333060,8,HandleApiCall
code-creation,Builtin,3,2780,0x1333080,8,HandleApiCallAsFunction
code-creation,Builtin,3,2784,0x13330a0,8,HandleApiCallAsConstructor
code-creation,Builtin,3,2787,0x13330c0,64,AllocateInYoungGeneration
code-creation,Builtin,3,2790,0x1333120,60,AllocateRegularInYoungGeneration
code-creation,Builtin,3,2793,0x1333160,64,AllocateInOldGeneration
code-creation,Builtin,3,2796,0x13331c0,60,AllocateRegularInOldGeneration
code-creation,Builtin,3,2799,0x1333200,480,CopyFastSmiOrObjectElements
code-creation,Builtin,3,2802,0x1333400,603,GrowFastDoubleElements
code-creation,Builtin,3,2805,0x1333660,474,GrowFastSmiOrObjectElements
code-creation,Builtin,3,2808,0x1333840,433,NewArgumentsElements
code-creation,Builtin,3,2811,0x1333a00,556,DebugBreakTrampoline
code-creation,Builtin,3,2814,0x1333c40,192,FrameDropperTrampoline
code-creation,Builtin,3,2817,0x1333d20,60,HandleDebuggerStatement
code-creation,Builtin,3,2820,0x1333d60,286,ToObject
code-creation,Builtin,3,2823,0x1333e80,136,ToBoolean
code-creation,Builtin,3,2825,0x1333f20,337,OrdinaryToPrimitive_Number
code-creation,Builtin,3,2829,0x1334080,337,OrdinaryToPrimitive_String
code-creation,Builtin,3,2832,0x13341e0,255,NonPrimitiveToPrimitive_Default
code-creation,Builtin,3,2835,0x13342e0,255,NonPrimitiveToPrimitive_Number
code-creation,Builtin,3,2838,0x13343e0,255,NonPrimitiveToPrimitive_String
code-creation,Builtin,3,2841,0x13344e0,113,StringToNumber
code-creation,Builtin,3,2844,0x1334560,157,ToName
code-creation,Builtin,3,2847,0x1334600,303,NonNumberToNumber
code-creation,Builtin,3,2849,0x1334740,315,NonNumberToNumeric
code-creation,Builtin,3,2852,0x1334880,291,ToNumber
code-creation,Builtin,3,2855,0x13349c0,332,ToNumberConvertBigInt
code-creation,Builtin,3,2858,0x1334b20,343,ToNumeric
code-creation,Builtin,3,2860,0x1334c80,357,NumberToString
code-creation,Builtin,3,2863,0x1334e00,322,ToLength
code-creation,Builtin,3,2865,0x1334f60,156,Typeof
code-creation,Builtin,3,2868,0x1335000,89,GetSuperConstructor
code-creation,Builtin,3,2871,0x1335060,161,BigIntToI64
code-creation,Builtin,3,2873,0x1335120,16,BigIntToI32Pair
code-creation,Builtin,3,2876,0x1335140,341,I64ToBigInt
code-creation,Builtin,3,2878,0x13352a0,16,I32PairToBigInt
code-creation,Builtin,3,2882,0x13352c0,144,ToBooleanLazyDeoptContinuation
code-creation,Builtin,3,2886,0x1335360,3025,KeyedLoadIC_PolymorphicName
code-creation,Builtin,3,2889,0x1335f40,14768,KeyedStoreIC_Megamorphic
code-creation,Builtin,3,2892,0x1339900,301,LoadGlobalIC_NoFeedback
code-creation,Builtin,3,2895,0x1339a40,92,LoadIC_FunctionPrototype
code-creation,Builtin,3,2898,0x1339aa0,24,LoadIC_StringLength
code-creation,Builtin,3,2901,0x1339ac0,28,LoadIC_StringWrapperLength
code-creation,Builtin,3,2904,0x1339ae0,3148,LoadIC_NoFeedback
code-creation,Builtin,3,2907,0x133a740,52,StoreGlobalIC_Slow
code-creation,Builtin,3,2910,0x133a780,6104,StoreIC_NoFeedback
code-creation,Builtin,3,2913,0x133bf60,232,KeyedLoadIC_SloppyArguments
code-creation,Builtin,3,2916,0x133c060,76,LoadIndexedInterceptorIC
code-creation,Builtin,3,2919,0x133c0c0,392,KeyedStoreIC_SloppyArguments_Standard
code-creation,Builtin,3,2922,0x133c260,392,KeyedStoreIC_SloppyArguments_GrowNoTransitionHandleCOW
code-creation,Builtin,3,2927,0x133c400,392,KeyedStoreIC_SloppyArguments_NoTransitionIgnoreOOB
code-creation,Builtin,3,2931,0x133c5a0,392,KeyedStoreIC_SloppyArguments_NoTransitionHandleCOW
code-creation,Builtin,3,2935,0x133c740,6044,StoreFastElementIC_Standard
code-creation,Builtin,3,2938,0x133dee0,11572,StoreFastElementIC_GrowNoTransitionHandleCOW
code-creation,Builtin,3,2942,0x1340c20,6044,StoreFastElementIC_NoTransitionIgnoreOOB
code-creation,Builtin,3,2945,0x13423c0,6020,StoreFastElementIC_NoTransitionHandleCOW
code-creation,Builtin,3,2949,0x1343b60,9544,ElementsTransitionAndStore_Standard
code-creation,Builtin,3,2952,0x13460c0,24104,ElementsTransitionAndStore_GrowNoTransitionHandleCOW
code-creation,Builtin,3,2956,0x134bf00,9544,ElementsTransitionAndStore_NoTransitionIgnoreOOB
code-creation,Builtin,3,2960,0x134e460,12948,ElementsTransitionAndStore_NoTransitionHandleCOW
code-creation,Builtin,3,2964,0x1351700,744,KeyedHasIC_PolymorphicName
code-creation,Builtin,3,2967,0x1351a00,220,KeyedHasIC_SloppyArguments
code-creation,Builtin,3,2970,0x1351ae0,76,HasIndexedInterceptorIC
code-creation,Builtin,3,2973,0x1351b40,172,EnqueueMicrotask
code-creation,Builtin,3,2976,0x1351c00,8,RunMicrotasksTrampoline
code-creation,Builtin,3,2979,0x1351c20,3988,RunMicrotasks
code-creation,Builtin,3,2981,0x1352bc0,2402,HasProperty
code-creation,Builtin,3,2984,0x1353540,1064,DeleteProperty
code-creation,Builtin,3,2987,0x1353980,1963,CopyDataProperties
code-creation,Builtin,3,2990,0x1354140,8302,SetDataProperties
code-creation,Builtin,3,2993,0x13561c0,40,Abort
code-creation,Builtin,3,2995,0x1356200,40,AbortCSAAssert
code-creation,Builtin,3,2998,0x1356240,8,EmptyFunction
code-creation,Builtin,3,3001,0x1356260,8,Illegal
code-creation,Builtin,3,3003,0x1356280,8,StrictPoisonPillThrower
code-creation,Builtin,3,3006,0x13562a0,8,UnsupportedThrower
code-creation,Builtin,3,3009,0x13562c0,93,ReturnReceiver
code-creation,Builtin,3,3012,0x1356320,44,ArrayConstructor
code-creation,Builtin,3,3014,0x1356360,485,ArrayConstructorImpl
code-creation,Builtin,3,3017,0x1356560,237,ArrayNoArgumentConstructor_PackedSmi_DontOverride
code-creation,Builtin,3,3021,0x1356660,237,ArrayNoArgumentConstructor_HoleySmi_DontOverride
code-creation,Builtin,3,3025,0x1356760,197,ArrayNoArgumentConstructor_PackedSmi_DisableAllocationSites
code-creation,Builtin,3,3030,0x1356840,197,ArrayNoArgumentConstructor_HoleySmi_DisableAllocationSites
code-creation,Builtin,3,3034,0x1356920,197,ArrayNoArgumentConstructor_Packed_DisableAllocationSites
code-creation,Builtin,3,3038,0x1356a00,197,ArrayNoArgumentConstructor_Holey_DisableAllocationSites
