v8-version,8,4,371,23,-node.85,0
shared-library,/usr/bin/node,0x400000,0x408a000,0
shared-library,/usr/lib/aarch64-linux-gnu/libc-2.31.so,0xffff91b3b000,0xffff91c97000,0
shared-library,/usr/lib/aarch64-linux-gnu/libpthread-2.31.so,0xffff91cb0000,0xffff91ccc000,0
shared-library,/usr/lib/aarch64-linux-gnu/libgcc_s.so.1,0xffff91ce1000,0xffff91cf4000,0
shared-library,/usr/lib/aarch64-linux-gnu/libm-2.31.so,0xffff91d05000,0xffff91da1000,0
shared-library,/usr/lib/aarch64-linux-gnu/libstdc++.so.6.0.29,0xffff91db3000,0xffff91fad000,0
shared-library,/usr/lib/aarch64-linux-gnu/libdl-2.31.so,0xffff91fce000,0xffff91fd1000,0
shared-library,/usr/lib/aarch64-linux-gnu/ld-2.31.so,0xffff91ffb000,0xffff9201c000,0
shared-library,[vdso],0xffff9202b000,0xffff9202c000,0
profiler,begin,1000
tick,0xffff91cc224c,1912,0,0x0,6
code-creation,Builtin,3,2949,0x132a240,1360,RecordWrite
code-creation,Builtin,3,2954,0x132a7a0,372,EphemeronKeyBarrier
code-creation,Builtin,3,2957,0x132a920,56,AdaptorWithBuiltinExitFrame
code-creation,Builtin,3,2960,0x132a960,360,ArgumentsAdaptorTrampoline
code-creation,Builtin,3,2963,0x132aae0,240,CallFunction_ReceiverIsNullOrUndefined
code-creation,Builtin,3,2966,0x132abe0,316,CallFunction_ReceiverIsNotNullOrUndefined
code-creation,Builtin,3,2969,0x132ad20,356,CallFunction_ReceiverIsAny
code-creation,Builtin,3,2972,0x132aea0,192,CallBoundFunction
code-creation,Builtin,3,2975,0x132af80,120,Call_ReceiverIsNullOrUndefined
code-creation,Builtin,3,2978,0x132b000,120,Call_ReceiverIsNotNullOrUndefined
code-creation,Builtin,3,2981,0x132b080,120,Call_ReceiverIsAny
code-creation,Builtin,3,2984,0x132b100,902,CallProxy
code-creation,Builtin,3,2986,0x132b4a0,232,CallVarargs
code-creation,Builtin,3,2989,0x132b5a0,1256,CallWithSpread
code-creation,Builtin,3,2991,0x132baa0,1238,CallWithArrayLike
code-creation,Builtin,3,2994,0x132bf80,288,CallForwardVarargs
